Date of data Extraction,Brand,Product name,ProductID,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 08:29:41 UTC,1495,1495 Scotch Whisky ,363230,Liquor,700ml,Ml,,,,,,,,,,31,FALSE,31,FALSE,,,1534285781.0-W-1
2018-08-15 08:29:44 UTC, peppercorn extra,Peppercorn Extra Lean Chicken Chipolatas ,652089,"Meat, Seafood & Deli",450g,g,,,,,,,,,,8.5,FALSE,8.5,FALSE,,,1534285784.0-W-2
2018-08-15 06:29:43 UTC, somersby,Somersby Cloudy Apple Cider Cans,667655,Liquor,10 pack,,,,,,,,,,,27,TRUE,22,FALSE,,,1534278583.0-W-3
2018-08-15 08:49:37 UTC, somersby,Somersby Cloudy Apple Cider Cans,976914,Liquor,30 pack,,,,,,,,,,,69,FALSE,69,FALSE,,,1534286977.0-W-4
2018-08-15 08:29:45 UTC,180 degrees,180 Degrees Oat Crackers Walnut,289839,"Meat, Seafood & Deli",150g,14g (3 Crackers),10.7,,100g,9.5g,34.5g,11.8g,42.8g,,809mg,6.5,FALSE,6.5,FALSE,,,1534285785.0-W-5
2018-08-15 08:29:45 UTC,180 degrees,180 Degrees Oat Crackers Hazelnut,289908,"Meat, Seafood & Deli",150g,14g (3 Crackers),10.7,,100g,9.1g,31.9g,11.1g,41.6g,3.2g,8112mg,6.5,FALSE,6.5,FALSE,,,1534285785.0-W-6
2018-08-15 08:29:45 UTC,180 degrees,180 Degrees Oat Crackers Natural,289909,"Meat, Seafood & Deli",150g,g,,,,,,,,,,6.5,FALSE,6.5,FALSE,,,1534285785.0-W-7
2018-08-15 06:29:43 UTC,19 crimes,19 Crimes Red Blend ,464845,Liquor,750ml,Ml,,,,,,,,,,11,FALSE,11,FALSE,,,1534278583.0-W-8
2018-08-15 06:29:43 UTC,19 crimes,19 Crimes Cabernet Sauvignon ,465065,Liquor,750ml,Ml,,,,,,,,,,11,FALSE,11,FALSE,,,1534278583.0-W-9
2018-08-15 08:49:38 UTC,19 crimes,19 Crimes Shiraz ,541314,Liquor,750ml,Ml,,,,,,,,,,11,FALSE,11,FALSE,,,1534286978.0-W-10
2018-08-15 08:29:42 UTC,23rd st distillery,23rd St Distillery Signature Gin ,561785,Liquor,700ml,Ml,,,,,,,,,,83,FALSE,83,FALSE,,,1534285782.0-W-11
2018-08-15 09:29:39 UTC,333s,333s Sweet Sliced Beetroot ,678605,Pantry,415g,g,,,,,,,,,,3,FALSE,3,FALSE,,,1534289379.0-W-12
2018-08-15 09:29:39 UTC,333s ,333s Sweet Whole Baby Beets ,678622,Pantry,415g,g,,,,,,,,,,3,FALSE,3,FALSE,,,1534289379.0-W-13
2018-08-15 06:29:41 UTC,4 pines,4 Pines American Amber Ale ,983411,Liquor,24x330ml,Ml,,,,,,,,,,77,FALSE,77,FALSE,,,1534278581.0-W-14
2018-08-15 08:49:37 UTC,4 pines,4 Pines American Amber Ale Bottle,518180,Liquor,330ml,Ml,,,,,,,,,,5,FALSE,5,FALSE,,,1534286977.0-W-15
2018-08-15 08:49:37 UTC,4 pines,4 Pines American Amber Ale ,983412,Liquor,6x330ml,Ml,,,,,,,,,,25.3,FALSE,25.3,FALSE,,,1534286977.0-W-16
2018-08-15 08:49:37 UTC,4 pines brewing company,4 Pines Brewing Company Pale Ale Bottles,379009,Liquor,24x330ml case,ml case,,,,,,,,,,77,FALSE,77,FALSE,,,1534286977.0-W-17
2018-08-15 08:49:37 UTC,4 pines brewing company,4 Pines Brewing Company Pale Ale Bottles,379010,Liquor,6x330ml pack,ml pack,,,,,,,,,,25.3,FALSE,25.3,FALSE,,,1534286977.0-W-18
2018-08-15 08:49:37 UTC,4 pines brewing company,4 Pines Brewing Company Pale Ale Bottle,379011,Liquor,330ml case,Ml,,,,,,,,,,5,FALSE,5,FALSE,,,1534286977.0-W-19
2018-08-15 06:29:41 UTC,4 pines summer,4 Pines Summer Indian Pale Ale Can,403624,Liquor,375ml single,Ml,,,,,,,,,,5.2,FALSE,5.2,FALSE,,,1534278581.0-W-20
2018-08-15 06:09:37 UTC,42 below pure,42 Below Pure Vodka ,906891,Liquor,700ml,Ml,,,,,,,,,,53,TRUE,42,FALSE,,,1534277377.0-W-21
2018-08-15 06:29:42 UTC,5 seeds,5 Seeds Apple Cider Crisp Can,827985,Liquor,330ml single,Ml,,,,,,,,,,4.2,FALSE,4.2,FALSE,,,1534278582.0-W-22
